index,time,open,high,low,close,volume
140,2023-11-29 13:00:00,189.4690,189.5160,188.9390,189.2250,3025200
139,2023-11-29 14:00:00,189.2290,189.2610,188.8090,189.0900,3079225
138,2023-11-29 15:00:00,189.0890,189.2060,188.7290,189.1100,6258348
137,2023-11-30 10:00:00,188.9700,189.1110,188.1000,188.5200,6124985
136,2023-11-30 11:00:00,188.5100,188.6810,187.9500,188.0010,3838348
135,2023-11-30 12:00:00,188.0110,188.5210,187.9500,188.4630,2910399
134,2023-11-30 13:00:00,188.4600,188.5300,188.0300,188.2710,2639605
133,2023-11-30 14:00:00,188.2700,188.9710,188.2600,188.9350,3056376
132,2023-11-30 15:00:00,188.9350,189.9600,188.4490,189.7090,9085694
377,2023-12-01 10:00:00,189.7290,190.2600,189.6710,190.0980,6038292
376,2023-12-01 11:00:00,190.1080,191.0090,189.9380,190.7980,6609219
375,2023-12-01 12:00:00,190.8020,191.2980,190.7170,191.2550,3739484
374,2023-12-01 13:00:00,191.2570,191.3180,190.5770,190.9270,3342601
373,2023-12-01 14:00:00,190.9370,191.0990,190.6670,191.0370,3093770
372,2023-12-01 15:00:00,191.0220,191.1390,189.6430,191.0170,7760007
371,2023-12-04 10:00:00,189.1590,189.4010,187.5110,187.7910,7536712
370,2023-12-04 11:00:00,187.7810,188.1820,187.2120,188.1210,4916602
369,2023-12-04 12:00:00,188.1260,188.5320,187.9500,188.4310,3251884
368,2023-12-04 13:00:00,188.4300,188.5720,188.2500,188.4260,2690416
367,2023-12-04 14:00:00,188.4250,188.8910,188.2550,188.7720,3078689
366,2023-12-04 15:00:00,188.7700,189.7600,188.4790,189.2100,7523610
365,2023-12-05 10:00:00,192.4150,194.1150,192.3640,194.0130,12978943
364,2023-12-05 11:00:00,194.0180,194.1550,192.3740,192.9690,6880740
363,2023-12-05 12:00:00,192.9740,193.5850,192.7040,193.3740,4982482
362,2023-12-05 13:00:00,193.3840,193.4160,192.6040,192.6650,5181192
361,2023-12-05 14:00:00,192.6650,193.0660,192.5040,192.9750,4131158
360,2023-12-05 15:00:00,192.9750,193.2960,192.6240,193.2540,9024749
359,2023-12-06 10:00:00,192.8950,192.9210,191.9600,192.4080,6548362
358,2023-12-06 11:00:00,192.4250,193.0960,192.2250,192.7950,4209641
357,2023-12-06 12:00:00,192.7850,192.8540,192.4040,192.4550,3170033
356,2023-12-06 13:00:00,192.4450,192.9910,192.1250,192.9040,2834615
355,2023-12-06 14:00:00,192.9050,192.9660,192.5040,192.6650,2572402
354,2023-12-06 15:00:00,192.6680,192.6970,191.8650,192.0860,7081921
353,2023-12-07 10:00:00,193.6440,194.7340,193.6330,194.5460,6422747
352,2023-12-07 11:00:00,194.5520,194.6540,193.7730,194.6230,4388376
351,2023-12-07 12:00:00,194.6220,194.7540,194.2620,194.2680,4137541
350,2023-12-07 13:00:00,194.2730,194.5340,193.9820,194.0730,4688035
349,2023-12-07 14:00:00,194.0730,194.2460,193.8820,193.9040,2696796
348,2023-12-07 15:00:00,193.9030,194.1050,193.7630,193.9930,6261993
347,2023-12-08 10:00:00,193.5740,194.7540,193.5730,194.7320,7135322
346,2023-12-08 11:00:00,194.7270,194.7540,194.0230,194.2030,4102574
345,2023-12-08 12:00:00,194.2080,195.0540,194.0870,194.9220,5804961
344,2023-12-08 13:00:00,194.9320,195.3880,194.7710,195.3650,4510380
343,2023-12-08 14:00:00,195.3710,195.7330,195.2010,195.5810,4762777
342,2023-12-08 15:00:00,195.5860,195.7430,195.1610,195.4720,7829790
341,2023-12-11 10:00:00,192.6550,192.7960,191.4610,191.7160,9497034
340,2023-12-11 11:00:00,191.7210,191.9820,191.1760,191.7360,7254982
339,2023-12-11 12:00:00,191.7260,192.1470,191.5650,191.9700,3691975
338,2023-12-11 13:00:00,191.9760,192.5670,191.9050,192.5400,4250531
337,2023-12-11 14:00:00,192.5430,192.7610,192.4340,192.6500,4084326
336,2023-12-11 15:00:00,192.6550,193.0660,192.5040,192.9450,7733120
335,2023-12-12 10:00:00,192.1740,193.1760,192.0150,192.9650,6991844
334,2023-12-12 11:00:00,192.9700,193.3760,192.8840,193.1890,4211347
333,2023-12-12 12:00:00,193.1890,193.2660,192.8240,193.1840,3167063
332,2023-12-12 13:00:00,193.1840,193.9020,193.1230,193.8150,5016112
331,2023-12-12 14:00:00,193.8180,194.0950,193.7430,193.9960,3992679
330,2023-12-12 15:00:00,194.0030,194.4740,193.9620,194.4230,7821923
329,2023-12-13 10:00:00,195.6510,196.4900,195.5500,196.0730,7551885
328,2023-12-13 11:00:00,196.0810,196.2120,195.4010,195.7010,5628705
327,2023-12-13 12:00:00,195.7060,195.8630,195.2310,195.8460,4098284
326,2023-12-13 13:00:00,195.8460,196.6720,195.4500,196.2210,5873052
325,2023-12-13 14:00:00,196.2300,197.7500,196.2290,197.6590,11463640
324,2023-12-13 15:00:00,197.6640,197.7300,196.3190,197.6290,13203528
323,2023-12-14 10:00:00,198.9370,199.3480,197.8190,198.8670,10782650
322,2023-12-14 11:00:00,198.8720,199.0190,197.5080,197.5470,8283646
321,2023-12-14 12:00:00,197.5440,198.5910,197.3380,197.4590,4998663
320,2023-12-14 13:00:00,197.4590,197.4610,195.9100,196.5480,5641864
319,2023-12-14 14:00:00,196.5450,197.6550,196.5190,197.4640,4812010
318,2023-12-14 15:00:00,197.4690,197.9100,197.3080,197.8890,10163343
317,2023-12-15 10:00:00,197.6390,198.1500,197.1680,197.4260,7615397
316,2023-12-15 11:00:00,197.4290,197.7700,197.0980,197.6840,4742709
315,2023-12-15 12:00:00,197.6890,197.7000,196.9040,196.9200,3938145
314,2023-12-15 13:00:00,196.9110,197.3890,196.7690,197.3090,5768840
313,2023-12-15 14:00:00,197.3140,197.4160,197.0180,197.2290,3146798
312,2023-12-15 15:00:00,197.2240,197.9500,196.7490,196.8700,11438964
311,2023-12-18 10:00:00,194.7020,195.3430,194.3720,194.7130,8625858
310,2023-12-18 11:00:00,194.7020,195.0440,194.4020,194.5880,5178656
309,2023-12-18 12:00:00,194.5870,195.2220,194.5620,195.2120,3401245
308,2023-12-18 13:00:00,195.2170,195.9820,195.2110,195.9560,3674703
307,2023-12-18 14:00:00,195.9610,196.2320,195.7600,196.0110,4147790
306,2023-12-18 15:00:00,196.0210,196.2020,195.5300,195.6140,7241388
305,2023-12-19 10:00:00,196.3300,196.5920,195.8000,196.4750,5434001
304,2023-12-19 11:00:00,196.4750,196.7020,195.9600,196.0360,3931499
303,2023-12-19 12:00:00,196.0360,196.1020,195.7200,196.0010,2731655
302,2023-12-19 13:00:00,195.9960,196.0620,195.7200,195.8360,2321349
301,2023-12-19 14:00:00,195.8410,195.9230,195.7400,195.8460,2374791
300,2023-12-19 15:00:00,195.8510,196.7020,195.7300,196.6700,5899980
299,2023-12-20 10:00:00,197.2590,197.4160,196.9790,197.1340,4874062
298,2023-12-20 11:00:00,197.1340,197.1910,196.7590,197.0530,3804400
297,2023-12-20 12:00:00,197.0590,197.1910,196.9180,197.1590,2764552
296,2023-12-20 13:00:00,197.1590,197.3210,196.9150,196.9850,2943308
295,2023-12-20 14:00:00,196.9790,197.0910,195.4310,195.4720,5230711
294,2023-12-20 15:00:00,195.4710,197.1510,194.5920,194.5930,12155482
293,2023-12-21 10:00:00,195.5310,195.5730,194.0420,194.1930,7680419
292,2023-12-21 11:00:00,194.1880,194.7240,194.0920,194.2430,4418808
291,2023-12-21 12:00:00,194.2440,194.2850,193.4230,193.5040,4842005
290,2023-12-21 13:00:00,193.5040,193.9950,193.2530,193.8140,4080021
289,2023-12-21 14:00:00,193.8130,194.1150,193.5330,193.6440,3630855
288,2023-12-21 15:00:00,193.6440,194.7340,193.5130,194.4330,7451575
287,2023-12-22 10:00:00,194.9820,195.0440,194.0820,194.0980,5152309
286,2023-12-22 11:00:00,194.0930,194.1350,193.7630,193.8840,3736745
285,2023-12-22 12:00:00,193.8930,194.6680,193.5930,194.0030,3438890
284,2023-12-22 13:00:00,194.0120,194.2150,193.7330,193.7540,2795532
283,2023-12-22 14:00:00,193.7630,193.7750,192.7240,193.5540,4402363
282,2023-12-22 15:00:00,193.5640,193.7450,193.2380,193.2840,6551308
281,2023-12-26 10:00:00,193.0090,193.1960,192.6440,192.9800,4155289
280,2023-12-26 11:00:00,192.9820,193.0560,192.6440,192.9800,2660270
279,2023-12-26 12:00:00,192.9740,193.0860,192.7840,192.9350,2570586
